code_pdv_texte,code_pdv,Vague,**nom_restaurant**,**reseau**,**code_direction**,REGION<br>GLOBALE,**code_region**,REGION,**statut_pdv**,id_readings,vague,nom_restaurant,region,date_mel,statut_integration,affluence,sequence,joker,syntaxe,fdv,hdv,sexe,age,f600,f600_comment,1.1 - Courtoisie et aimabilité du personnel,1.2 - Compétence du personnel,"1.3 - Perception du personnel (souriant, dynamique, professionnel)",1.4 - Interaction avec le client,1.5 - Gestion de l'affluence,2.1 - Qualité des plats,2.2 - Variété des plats,2.3 - Cuisson et température des aliments,2.4 - Assaisonnement des aliments,2.5 - Disponibilité des plats,3.1 - Propreté générale du restaurant,3.2 - Propreté des toilettes,3.3 - Propreté et rangement des tables,3.4 - Propreté des couverts et assiettes,"3.5 - Propreté des espaces de service (buffets, stands)",4.1 - Décoration et agencement du restaurant,4.2 - Bruit dans le restaurant,"4.3 - Espace (espacement entre les tables, taille du restaurant)",4.4 - Environnement pour les enfants,5.1 - Présence de déchets,5.2 - Nettoyage et débarrassage des tables,5.3 - Fréquence du réapprovisionnement des buffets,6.1 - Gestion du temps d'attente,6.2 - Rapidité du service en caisse,6.3 - Gestion de l'affluence,7.1 - Variété et qualité des légumes,7.2 - Presence de sauce sur assiette,7.3 - Assaisonnement des accompagnements,7.4 - Disponibilité des sauces,8.1 - Connaissance du personnel sur les produits,8.2 - Disponibilité des produits comme les crêpes,8.3 - Problèmes techniques impactants l'offre de produits,9.1 - Accessibilité du restaurant,9.2 - Places de parking,9.3 - Aménagement de la terrasse,10. - Prix,11. - Communication,12. - Poisson
496,496,août-23,BASTIA,FRANCHISE,DO_6,SUD,R_13,GRAND SUD EST,Actif,347613,41,145,24,11/08/2023,1,2,MIDI SEMAINE,0,6,08/07/2023,12:00:00,Homme,30,2,"Le restaurant est globalement propre. Le personnel est très actif, car il y a du monde.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77,77,août-23,AULNAY,COMPAGNIE,DO_3,NORD,R_28,PARIS EST,Actif,347545,41,46,28,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:45:00,Femme,55,2,"Le personnel est poli et agréable. Mon plat est très bon, bien chaud et généreusement servi. Il y a un choix de légumes satisfaisant et régulièrement renouvelé mais assez basique. Jai été désagréablement surprise de ne plus trouver de menu Flunch avec plat du jour.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
541,541,août-23,ARRAS DAINVILLE,FRANCHISE,DO_6,NORD,R_10,NORD LITTORAL,Actif,347619,41,154,26,11/08/2023,1,1,SOIR SEMAINE,0,6,08/01/2023,19:11:00,Femme,33,1,Cest propre et simple. Le personnel ajoute une touche chaleureuse. Il est professionnel et très agréable. Il est toujours souriant et gentil. Les plats sont vraiment bons. Je passe un moment agréable.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,33,août-23,BETHUNE,COMPAGNIE,DO_2,NORD,R_21,NORD LITTORAL,Actif,347522,41,14,26,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:02:00,Homme,73,1,J'apprécie l'excellente qualité des produits proposés.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
514,514,sept.-23,RODEZ,COMPAGNIE,DO_1,SUD,R_26,GRAND SUD EST,Actif,347714,42,147,24,15/09/2023,1,2,WE FAMILLE,0,6,09/08/2023,19:00:00,Homme,51,2,Je suis bien pris en charge lors de mon passage en caisse et lors de la remise des plats. La personne est agréable et joviale. J'apprécie la qualité des plats et le restaurant est globalement propre.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
839,839,sept.-23,CHARTRES BARJOUVILLE,FRANCHISE,DO_6,NORD,R_12,PARIS NORMANDIE,Actif,347713,42,218,29,15/09/2023,1,2,WE FAMILLE,0,6,09/09/2023,19:38:00,Homme,38,1,"J'apprécie vraiment la rapidité du service, les places disponibles et le très grand choix de produits avant les caisses. Les toilettes sont très propres.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
189,189,août-23,CALAIS COQUELLES,COMPAGNIE,DO_2,NORD,R_25,NORD LITTORAL,Actif,347565,41,72,26,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:35:00,Femme,39,3,"Les toilettes sont vraiment négligées. L'état du sèche-mains est repoussant, et il n'y a pas de savon.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
372,372,août-23,BORDEAUX BOULIAC,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,347604,41,128,22,11/08/2023,1,3,SOIR SEMAINE,0,6,08/01/2023,19:13:00,Homme,67,2,"Sans doute en raison du peu d'affluence, il y a peu de légumes d'accompagnement, en plus des frites, qui sont proposés. Un seul membre du personnel est en salle, une seule personne en caisse et deux aux cuisines.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
111,111,août-23,LIMOGES BOISSEUIL,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,347560,41,67,22,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:55:00,Homme,61,2,Les plats proposés sont plutôt variés. On peut se servir en légumes à volonté.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
101,101,août-23,CHOLET,COMPAGNIE,DO_1,SUD,R_31,OUEST,Actif,347556,41,59,27,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:08:00,Femme,55,1,Le personnel est très agréable. L'ambiance est sympathique.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
541,541,sept.-23,ARRAS DAINVILLE,FRANCHISE,DO_6,NORD,R_10,NORD LITTORAL,Actif,347712,42,154,26,15/09/2023,1,2,WE FAMILLE,0,6,09/09/2023,19:00:00,Femme,43,3,"Un robinet dans les toilettes est à revoir. Il n'y a pas de fontaine à eau, il faut aller demander un pichet au bar.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
500,500,août-23,ANGERS SAINT SERGE,COMPAGNIE,DO_5,SUD,R_22,OUEST,Actif,347614,41,146,27,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:14:00,Homme,43,2,"J'ai beaucoup apprécié l'accueil de l'hôte de caisse, son sourire et sa sympathie. Les buffets sont visuellement appétissants et bien présentés, la salle est propre et bien organisée. La cuisson du poisson était parfaitement maîtrisée, tout comme les accompagnements de légumes. Les frites étaient également croustillantes et bien chaudes.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,85,août-23,LYON ST PRIEST,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,347549,41,50,23,11/08/2023,1,2,SOIR SEMAINE,0,6,08/08/2023,19:01:00,Femme,70,2,"La personne qui m'a renseigné pour l'anniversaire est très aimable et courtoise, elle m'a bien renseigné.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,37,août-23,ENGLOS,COMPAGNIE,DO_2,NORD,R_25,NORD LITTORAL,Actif,347523,41,15,26,11/08/2023,1,1,SOIR SEMAINE,0,6,08/03/2023,19:25:00,Femme,37,2,"Je suis globalement satisfait, sans non plus avoir été agréablement surpris par quelque chose ou quelqu'un. Le balisage dans la zone free flow n'est pas cohérent avec les produits en dessous. Je dois même demander ce qu'est un des desserts, car ce n'est pas indiqué.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83,83,sept.-23,BORDEAUX LE LAC,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,347703,42,49,22,15/09/2023,1,3,WE FAMILLE,0,6,09/08/2023,19:05:00,Homme,38,1,Le restaurant est propre et en bon état. Nous sommes bien accueillis. Le personnel comprend mes souhaits et le repas est parfait. La viande est très bien cuite. Les légumes sont variés et qualitatifs. De nombreuses sauces sont disponibles.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
601,601,août-23,CHATEAUROUX CAP SUD,FRANCHISE,DO_5,SUD,R_31,CENTRE AQUITAINE,Actif,347631,41,174,22,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:09:00,Femme,28,3,"Le service n'était pas à la hauteur de es attentes, et la salle n'était pas dans un excellent état. Cela manque de propreté à différents endroits.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
672,672,août-23,FAMECK,FRANCHISE,DO_6,NORD,R_10,PARIS EST,Actif,347634,41,189,28,11/08/2023,1,3,SOIR SEMAINE,0,6,08/02/2023,19:02:00,Homme,46,1,Le personnel est à l'écoute et professionnel. Le point de vente est propre et l'espace est bien agencé. Le repas était bon et chaud.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,51,janv.-23,MARSEILLE VITROLLES,COMPAGNIE,DO_4,SUD,R_27,GRAND SUD EST,Actif,345833,32,27,24,17/01/2023,1,2,MIDI SEMAINE,0,6,01/10/2023,12:03:00,Homme,58,1,"J'ai été plutôt agréablement surpris par plusieurs aspects relevés lors de mon passage dans ce restaurant. En effet, voici les éléments positifs suivants : Le restaurant est visuellement propre et bien ordonné. Les tables sont régulièrement débarrassées. Une ambiance calme et reposante règne dans le restaurant.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,49,août-23,AVIGNON LE PONTET,COMPAGNIE,DO_4,SUD,R_27,CENTRE EST,Actif,347533,41,26,23,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:07:00,Homme,35,3,"Les temps dattente sont très importants, pour la prise en charge en caisse, le service du plat et l'approvisionnement des frites. Le personnel est dépassé à de nombreux endroits. Je mange tout de même bien. Le personnel nest jamais force de proposition, jaurais aimé que lon me fasse des suggestions.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
261,261,sept.-23,ARRAS,COMPAGNIE,DO_2,NORD,R_21,NORD LITTORAL,Actif,347696,42,103,26,15/09/2023,1,3,WE FAMILLE,0,6,09/08/2023,19:00:00,Femme,43,2,"Le personnel est sympathique et le repas est bon. Le restaurant est propre, mais l'odeur n'est pas très agréable dans les toilettes. La feuille de nettoyage n'est pas complétée. Les toilettes homme sont en travaux a priori.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
600,600,août-23,BRIVE LA GAILLARDE,COMPAGNIE,DO_5,SUD,R_26,CENTRE AQUITAINE,Actif,347630,41,173,22,11/08/2023,1,1,SOIR SEMAINE,0,6,08/03/2023,19:50:00,Femme,47,2,"Une seule caisse est ouverte. La même personne gérait la caisse et le buffet des glaces, crêpes et gaufres. Le personnel était fortement affairé, mais attentif. La qualité des produits était conforme.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
229,229,août-23,ST QUENTIN,COMPAGNIE,DO_2,NORD,R_23,NORD EST,Actif,347571,41,80,25,11/08/2023,1,1,SOIR SEMAINE,0,6,08/03/2023,19:27:00,Femme,32,2,Les garnitures manquent de saveur et les frites n'étaient pas salées. Le personnel croisé était agréable.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
353,353,août-23,REIMS TINQUEUX,COMPAGNIE,DO_3,NORD,R_23,PARIS EST,Actif,347596,41,117,28,11/08/2023,1,2,SOIR SEMAINE,0,6,08/03/2023,19:02:00,Femme,43,3,"Près de la machine à café, aucune tasse n'est disponible. Il a fallu demander au personnel qui a dû lui aussi chercher pour trouver une tasse propre.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
466,466,août-23,THIONVILLE,COMPAGNIE,DO_3,NORD,R_24,NORD EST,Actif,347610,41,136,25,11/08/2023,1,3,SOIR SEMAINE,0,6,08/03/2023,18:50:00,Homme,46,1,"Le personnel est très serviable, souriant et professionnel. L'établissement est propre, les plats sont bien présentés et appétissants. Mon repas est très correct.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
597,597,sept.-23,AIRE D'ARGENTAN,FRANCHISE,DO_6,SUD,R_12,OUEST,Actif,347708,42,171,27,15/09/2023,1,1,WE FAMILLE,0,6,09/09/2023,12:30:00,Femme,65,2,"La visite se déroule bien. Je suis reçue d'une façon courtoise et attentionnée. Il y a du monde, aussi dois-je attendre 10 minutes avant d'avoir le plat chaud. Les frites sont particulièrement bonnes. Le personnel de service nettoie aussitôt les tables et répond volontiers aux demandes de la clientèle.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,67,août-23,PERPIGNAN,COMPAGNIE,DO_1,SUD,R_26,GRAND SUD EST,Actif,347542,41,40,24,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:30:00,Femme,63,2,"Je passe un agréable moment et les plats sont conformes à mes attentes. Hormis le manque de savon, d'essuie-main et de sèche-mains, le reste est bien.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,78,août-23,BORDEAUX MERIGNAC,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,347546,41,47,22,11/08/2023,1,2,SOIR SEMAINE,0,6,08/03/2023,19:50:00,Femme,29,2,La visite est conforme à mes attentes. Un peu plus de chaleur dans les échanges avec l'ensemble du personnel aurait été appréciable.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
390,390,août-23,VALENCE GUILHERAND GRANGES,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,347607,41,132,23,11/08/2023,1,3,SOIR SEMAINE,0,6,08/01/2023,19:09:00,Femme,56,1,Le restaurant est très agréable et les plats sont bons.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,17,août-23,LE MANS LA MILESSE,COMPAGNIE,DO_5,SUD,R_31,OUEST,Actif,347516,41,7,27,11/08/2023,1,3,SOIR SEMAINE,0,6,08/01/2023,19:10:00,Homme,46,1,Je passe un bon moment. Le personnel est attentionné envers les clients.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,51,janv.-23,MARSEILLE VITROLLES,COMPAGNIE,DO_4,SUD,R_27,GRAND SUD EST,Actif,345979,32,27,24,31/01/2023,0,3,MIDI SEMAINE,1,6,1/20/2023,12:02:00,Homme,62,1,"De là où je me suis installé, j'avais vue sur l'ensemble des caisses et des stands. Je n'ai pas observé de manquement de la part du personnel.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,72,août-23,NICE LINGOSTIERE,COMPAGNIE,DO_4,SUD,R_27,GRAND SUD EST,Actif,347544,41,44,24,11/08/2023,1,3,SOIR SEMAINE,0,6,08/02/2023,19:15:00,Femme,56,3,Les buffets sont partiellement fermés à 20 heures. Il y a des moucherons au libre-service des vins. La vitrine des glaces est fermée.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,51,juin-23,MARSEILLE VITROLLES,COMPAGNIE,DO_4,SUD,R_27,GRAND SUD EST,Actif,347285,39,27,24,13/06/2023,0,1,WE FAMILLE,0,6,06/03/2023,12:59:00,Femme,31,4,"Lattente était longue aux plats chauds. Le personnel est, dans lensemble, nonchalant. Les chaises enfants étaient sales et il y avait beaucoup de bruit dû à laffluence.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
174,174,août-23,TOURS ST PIERRE,COMPAGNIE,DO_5,SUD,R_31,CENTRE AQUITAINE,Actif,347562,41,69,22,11/08/2023,1,1,SOIR SEMAINE,0,6,08/03/2023,19:26:00,Femme,61,3,"Cela manque de personnel sur ce créneau horaire de forte affluence. De ce fait, l'attente en caisse est longue de même que l'approvisionnement du buffet de légumes. Ce n'est pas propre autour du buffet des légumes. Le personnel est très occupé et au service des clients. J'ai toutefois apprécié mon repas.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,56,août-23,PLAISIR,COMPAGNIE,DO_3,NORD,R_28,PARIS NORMANDIE,Actif,347536,41,29,29,11/08/2023,1,2,SOIR SEMAINE,0,6,08/03/2023,19:35:00,Homme,54,2,"Lencaissement est rapide. Le restaurant est impeccable, on trouve facilement de la place pour dîner. La nourriture est de bonne qualité, les frites sont bien chaudes et croustillantes. Le personnel croisé est très sympathique.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,27,août-23,ANNECY,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,347520,41,11,23,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,18:55:00,Homme,46,2,"Je suis satisfait. L'espace d'entrée est accueillant, propre. Il y a un large choix d'entrées, de fromages et de desserts. La lumière est forte mais agréable. Le plat consommé est bon. La salle de restauration est propre et le personnel aimable, disponible.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
94,94,août-23,LYON LIMONEST,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,347553,41,55,23,11/08/2023,1,2,SOIR SEMAINE,0,6,08/01/2023,19:01:00,Homme,77,3,Je suis déçu concernant le manque d'attention envers certains points comme les tables qui ne sont pas débarrassées et les toilettes qui ne sont pas vérifiées.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,361,août-23,BORDEAUX EULALIE,FRANCHISE,DO_6,SUD,R_12,CENTRE AQUITAINE,Actif,347600,41,123,22,11/08/2023,1,2,SOIR SEMAINE,0,6,08/02/2023,19:04:00,Homme,67,2,Pas de mauvaise surprise. Les quelques anomalies sont dues à certains clients. Les légumes sont toujours disponibles en quantité.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
364,364,août-23,LAVAL,FRANCHISE,DO_6,SUD,R_12,OUEST,Actif,347602,41,125,27,11/08/2023,1,3,SOIR SEMAINE,0,6,08/01/2023,18:45:00,Homme,33,1,"Je passe un moment agréable, tout est parfait. La chasse d'eau n'a pas été tirée dans les toilettes. Indépendamment de cela, tout est très bien.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
354,354,sept.-23,CAVAILLON,COMPAGNIE,DO_4,SUD,R_27,CENTRE EST,Actif,347693,42,118,23,15/09/2023,1,2,WE FAMILLE,0,6,09/09/2023,12:09:00,Homme,62,1,Ma visite se déroule très bien. Le restaurant est très propre et en excellent état. Il y a du choix au niveau des accompagnements et la viande est très bien cuite.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
537,537,août-23,POITIERS,COMPAGNIE,DO_5,SUD,R_31,CENTRE AQUITAINE,Actif,347618,41,153,22,11/08/2023,1,1,SOIR SEMAINE,0,6,08/03/2023,19:50:00,Homme,35,2,Les plats sont conformes à mes attentes. J'apprécie l'accueil. C'est une bonne visite.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,51,juil.-23,MARSEILLE VITROLLES,COMPAGNIE,DO_4,SUD,R_27,GRAND SUD EST,Actif,347390,40,27,24,11/07/2023,0,2,MIDI SEMAINE,0,6,07/04/2023,12:20:00,Homme,62,2,"La visite est satisfaisante, mais sans plus, notamment car le plat est à peine tiède.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
102,102,août-23,OLLIOULES,COMPAGNIE,DO_4,SUD,R_27,GRAND SUD EST,Actif,347557,41,60,24,11/08/2023,1,2,SOIR SEMAINE,0,6,08/03/2023,19:15:00,Femme,48,3,La personne qui s'occupe du nettoyage de la salle de restauration met beaucoup de temps à retirer les plateaux et à nettoyer les tables. Les frites ne sont pas croustillantes.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
199,199,août-23,TOULOUSE ROQUES,COMPAGNIE,DO_1,SUD,R_26,GRAND SUD EST,Actif,347568,41,75,24,11/08/2023,1,3,SOIR SEMAINE,0,6,08/02/2023,19:05:00,Femme,23,2,"Les plats sont bons. La personne qui range les couverts ne connaît pas assez la carte. Sur la fontaine à eau on ne peut plus identifier la touche pour leau et celle pour les glaçons. Dans les toilettes, les odeurs sont désagréables. Le restaurant est plutôt agréable en termes de décoration.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
372,372,sept.-23,BORDEAUX BOULIAC,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,347699,42,128,22,15/09/2023,1,3,WE FAMILLE,0,6,09/09/2023,19:25:00,Homme,50,2,Le restaurant est globalement propre et les équipes sont au service des clients. Les plats consommés sont bons et chauds.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
235,235,août-23,LE PUY,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,347574,41,84,23,11/08/2023,1,1,SOIR SEMAINE,0,6,08/03/2023,19:15:00,Femme,42,1,"Le personnel est très agréable. Malgré une forte affluence, il est à l'écoute du client et très professionnel. Le restaurant est propre et agréable.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
